Event,Event_name,Event_order,Event_year,Date,Race_time_clock,Distance,Laps,Rang,Participant,UCI_Class_code,Year_of_birth,Age,Team,Time,Time_seconds,Time_min,Time_hours,Velocity,Gender_name,Gender,Class_number,Class,Discipline
Roskilde-Wchamp2011,Roskilde-Wchamp,4,2011,11/09/2011,10:45,30.7,2,1,190,WT1,1968,43,CANADA,1:24:34,5074,84.56666667,1.409444444,21.78163185,Women,2,1,T1,T
Roskilde-Wchamp2011,Roskilde-Wchamp,4,2011,10/09/2011,16:00,61.5,4,9,198,MC2,1982,29,RUSSIA,1:41:41,6101,101.6833333,1.694722222,36.28913293,Men,1,2,C2,C
Roskilde-Wchamp2011,Roskilde-Wchamp,4,2011,11/09/2011,8:00,76.9,5,3,200,MC5,1973,38,BRAZIL,1:51:53,6713,111.8833333,1.864722222,41.23938627,Men,1,5,C5,C
Roskilde-Wchamp2011,Roskilde-Wchamp,4,2011,11/09/2011,8:00,76.9,5,13,203,MC5,NA,NA,BELGIUM,1:53:00,6780,113,1.883333333,40.83185841,Men,1,5,C5,C
Roskilde-Wchamp2011,Roskilde-Wchamp,4,2011,10/09/2011,16:00,61.5,4,2,205,MC2,1984,27,GERMANY,1:36:04,5764,96.06666667,1.601111111,38.41082582,Men,1,2,C2,C
Roskilde-Wchamp2011,Roskilde-Wchamp,4,2011,10/09/2011,16:00,61.5,4,12,207,MC3,1967,44,SPAIN,1:36:12,5772,96.2,1.603333333,38.35758836,Men,1,3,C3,C
Roskilde-Wchamp2011,Roskilde-Wchamp,4,2011,11/09/2011,8:00,76.9,5,11,216,MC5,NA,NA,NETHERLANDS,1:53:00,6780,113,1.883333333,40.83185841,Men,1,5,C5,C
Roskilde-Wchamp2011,Roskilde-Wchamp,4,2011,10/09/2011,16:00,61.5,4,5,218,MC3,1997,14,SPAIN,1:36:04,5764,96.06666667,1.601111111,38.41082582,Men,1,3,C3,C
Roskilde-Wchamp2011,Roskilde-Wchamp,4,2011,11/09/2011,8:00,76.9,5,16,219,MC5,1971,40,POLAND,1:53:00,6780,113,1.883333333,40.83185841,Men,1,5,C5,C
Roskilde-Wchamp2011,Roskilde-Wchamp,4,2011,11/09/2011,8:00,76.9,5,21,223,MC4,1989,22,CZECH REPUBLIC,2:11:03,7863,131.05,2.184166667,35.2079359,Men,1,4,C4,C
